DieId,Pass,HBIN,SBIN,DieLocation
d1,0,HBIN_3,SBIN_PWR_ERR,"-141.90,-25.85"
d2,0,HBIN_3,SBIN_LOGIC_ERR,"-141.90,-21.55"
d3,0,HBIN_2,SBIN_OPEN_PAD,"-141.90,-17.25"
d4,0,HBIN_2,SBIN_CONT_GND,"-141.90,-12.95"
d5,0,HBIN_3,SBIN_LOGIC_ERR,"-141.90,-8.65"
d6,1,HBIN_1,SBIN_PASS,"-141.90,-4.35"
d7,1,HBIN_1,SBIN_PASS,"-141.90,-0.05"
d8,0,HBIN_3,SBIN_PWR_ERR,"-141.90,4.25"
d9,0,HBIN_3,SBIN_LOGIC_ERR,"-141.90,8.55"
d10,1,HBIN_1,SBIN_PASS,"-141.90,12.85"
d11,1,HBIN_1,SBIN_PASS,"-141.90,17.15"
d12,0,HBIN_4,SBIN_IDDQ_HIGH,"-141.90,21.45"
d13,0,HBIN_4,SBIN_GAIN_LOW,"-141.90,25.75"
d14,0,HBIN_2,SBIN_PROBE_WEAR,"-136.90,-43.05"
d15,0,HBIN_2,SBIN_PROBE_WEAR,"-136.90,-38.75"
d16,1,HBIN_1,SBIN_PASS,"-136.90,-34.45"
d17,0,HBIN_2,SBIN_CONT_GND,"-136.90,-30.15"
d18,1,HBIN_1,SBIN_PASS,"-136.90,-25.85"
d19,0,HBIN_3,SBIN_TIMING_ERR,"-136.90,-21.55"
d20,0,HBIN_3,SBIN_PWR_ERR,"-136.90,-17.25"
d21,1,HBIN_1,SBIN_PASS,"-136.90,-12.95"
d22,0,HBIN_3,SBIN_TIMING_ERR,"-136.90,-8.65"
d23,1,HBIN_1,SBIN_PASS,"-136.90,-4.35"
d24,1,HBIN_1,SBIN_PASS,"-136.90,-0.05"
d25,0,HBIN_3,SBIN_PWR_ERR,"-136.90,4.25"
d26,0,HBIN_2,SBIN_PROBE_WEAR,"-136.90,8.55"
d27,0,HBIN_3,SBIN_LOGIC_ERR,"-136.90,12.85"
d28,1,HBIN_1,SBIN_PASS,"-136.90,17.15"
d29,0,HBIN_4,SBIN_GAIN_LOW,"-136.90,21.45"
d30,1,HBIN_1,SBIN_PASS,"-136.90,25.75"
d31,0,HBIN_4,SBIN_IDDQ_HIGH,"-136.90,30.05"
d32,1,HBIN_1,SBIN_PASS,"-136.90,34.35"
d33,1,HBIN_1,SBIN_PASS,"-136.90,38.65"
d34,0,HBIN_4,SBIN_GAIN_LOW,"-136.90,42.95"
d35,1,HBIN_1,SBIN_PASS,"-131.90,-55.95"
d36,0,HBIN_2,SBIN_PROBE_WEAR,"-131.90,-51.65"
d37,1,HBIN_1,SBIN_PASS,"-131.90,-47.35"
d38,0,HBIN_2,SBIN_OPEN_PAD,"-131.90,-43.05"
d39,0,HBIN_2,SBIN_PROBE_WEAR,"-131.90,-38.75"
d40,1,HBIN_1,SBIN_PASS,"-131.90,-34.45"
d41,1,HBIN_1,SBIN_PASS,"-131.90,-30.15"
d42,0,HBIN_2,SBIN_PROBE_WEAR,"-131.90,-25.85"
d43,1,HBIN_1,SBIN_PASS,"-131.90,-21.55"
d44,0,HBIN_2,SBIN_CONT_GND,"-131.90,-17.25"
